Thread ID: 70174741057220
Total: 664.733650

 %self     total     self     wait    child    calls  name
  0.22      1.45     1.45     0.00     0.00  1549354  #<Class:0x007fa5a98517f8>#name (ruby_runtime:0}
  0.22      8.63     1.45     0.00     7.18    80150  <Class::ActiveRecord::Base>#instantiate (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:952}
  0.22      3.95     1.45     0.00     2.50   415676  <Class::Time>#now (ruby_runtime:0}
  0.22      1.44     1.44     0.00     0.00   749603  ActiveModel::Dirty#changed_attributes (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/dirty.rb:130}
  0.21     21.08     1.41     0.00    19.67   492082  <Class::ActiveRecord::Base>#connection (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/abstract/connection_specification.rb:88}
  0.21      9.57     1.39     0.00     8.18   161973  Arel::SelectManager#initialize (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/select_manager.rb:5}
  0.21      7.93     1.39     0.00     6.54   161973  ActiveRecord::QueryMethods#build_select (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/relation/query_methods.rb:313}
  0.21      1.39     1.39     0.00     0.00   688633  ActiveRecord::AttributeMethods::ClassMethods#attribute_methods_generated? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/attribute_methods.rb:18}
  0.21      5.45     1.37     0.00     4.09   161965  Arel::Visitors::ToSql#visit_Arel_Nodes_JoinSource (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/visitors/to_sql.rb:288}
  0.20      1.35     1.35     0.00     0.00   828717  String#to_sym (ruby_runtime:0}
  0.20      1.56     1.35     0.00     0.21   553012  Arel::Visitors::ToSql#quote_column_name (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/visitors/to_sql.rb:430}
  0.20      1.34     1.34     0.00     0.00  1415303  NilClass#nil? (ruby_runtime:0}
  0.20      1.33     1.33     0.00     0.00  1248769  Kernel#block_given? (ruby_runtime:0}
  0.20      5.30     1.33     0.00     3.98    80150  ActiveRecord::Base#init_with (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:1599}
  0.20      1.38     1.32     0.00     0.06   240189  String#gsub (ruby_runtime:0}
  0.20      9.29     1.32     0.00     7.96   214347  ActiveRecord::Base#clone_attribute_value (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:1911}
  0.20      1.30     1.30     0.00     0.00   252143  ActiveRecord::DynamicFinderMatch#initialize (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/dynamic_finder_match.rb:31}
  0.19      2.52     1.28     0.00     1.24   238116  <Class::ActiveRecord::Base>#relation (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:975}
  0.19      6.64     1.28     0.00     5.36   161970  ActiveRecord::ConnectionAdapters::SQLite3Adapter#quote (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/sqlite3_adapter.rb:39}
  0.19      3.16     1.27     0.00     1.89   323300  ActiveRecord::Relation#eager_loading? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/relation.rb:412}
  0.19      1.86     1.26     0.00     0.60   198891  Struct#hash (ruby_runtime:0}
  0.19      1.24     1.24     0.00     0.00   161973  Arel::Nodes::SelectStatement#initialize (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/nodes/select_statement.rb:7}
  0.19      1.76     1.23     0.00     0.53    16849  Nokogiri::XML::Node#native_write_to (ruby_runtime:0}
  0.18     92.77     1.22     0.00    91.55   354518  Enumerable#to_a (ruby_runtime:0}
  0.18     13.65     1.21     0.00    12.45   198881  ActiveRecord::ConnectionAdapters::SQLiteAdapter#type_cast (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/sqlite_adapter.rb:200}
  0.18      2.56     1.19     0.00     1.37    60797  ActiveRecord::Transactions#remember_transaction_record_state (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/transactions.rb:304}
